functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,PBE band gap,μ,μĀ,μ𝐵 ̅,t
AgCsTaAuO6,Ag,3,Cs,1,1.15,-3.26,177.65,553.35,0.00,-0.73,0.57,1.36,0.97,3.34,40.10,85.60,Ta,5,Au,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.53,0.23,0.08,0.974
AgCsZrSnO6,Ag,3,Cs,1,1.15,-3.26,177.65,553.35,0.00,-0.73,0.57,1.36,0.97,3.34,40.10,85.60,Zr,4,Sn,0.01,0.01,-3.68,24.30,684.30,1.48,-2.02,0.31,1.65,0.47,2.35,33.10,74.20,0.00,0.50,0.23,0.01,0.993
AgCsZrTeO6,Ag,3,Cs,1,1.15,-3.26,177.65,553.35,0.00,-0.73,0.57,1.36,0.97,3.34,40.10,85.60,Zr,4,Te,1.14,1.14,-4.81,104.60,764.60,1.47,-2.03,0.39,1.72,0.58,2.25,74.55,115.65,1.55,0.60,0.23,0.09,0.931
AgCuReAuO6,Ag,2,Cu,2,0.10,-4.51,7.20,738.20,0.02,-0.71,0.02,1.92,0.17,2.21,3.60,122.10,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.06,0.10,0.903
AgEuReAuO6,Ag,3,Eu,2,0.84,-3.57,91.95,639.05,0.42,-1.14,0.37,1.57,0.78,3.16,57.25,68.45,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.53,0.08,0.08,0.904
AgEuTiAuO6,Ag,3,Eu,2,0.84,-3.57,91.95,639.05,0.42,-1.14,0.37,1.57,0.78,3.16,57.25,68.45,Ti,4,Au,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.52,0.08,0.09,0.909
AgEuWMgO6,Ag,3,Eu,2,0.84,-3.57,91.95,639.05,0.42,-1.14,0.37,1.57,0.78,3.16,57.25,68.45,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.00,0.48,0.08,0.04,0.934
AgHfO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Hf,4,Hf,0.00,0.00,-2.78,0.00,675.40,0.00,-2.77,0.00,1.30,0.00,2.91,0.00,17.00,0.00,0.51,0.00,0.00,0.935
AgHgAuTaO6,Ag,3,Hg,1,1.21,-5.61,138.00,869.00,0.16,-0.89,0.04,1.96,0.02,2.39,86.85,38.85,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.14,0.05,0.979
AgHgAuTiO6,Ag,3,Hg,1,1.21,-5.61,138.00,869.00,0.16,-0.89,0.04,1.96,0.02,2.39,86.85,38.85,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.14,0.04,0.991
AgHgReAuO6,Ag,3,Hg,1,1.21,-5.61,138.00,869.00,0.16,-0.89,0.04,1.96,0.02,2.39,86.85,38.85,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.03,0.51,0.14,0.10,0.946
AgHgWAlO6,Ag,3,Hg,1,1.21,-5.61,138.00,869.00,0.16,-0.89,0.04,1.96,0.02,2.39,86.85,38.85,W,5,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,0.03,0.41,0.14,0.03,1.012
AgIrO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Ir,5,Ir,0.00,0.00,-5.66,0.00,878.00,0.00,-0.96,0.00,2.20,0.00,2.63,0.00,151.00,0.00,0.41,0.00,0.00,1.037
AgKReAuO6,Ag,3,K,1,1.04,-3.37,156.10,574.90,0.03,-0.76,0.55,1.38,0.66,3.03,38.65,87.05,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.15,0.10,0.948
AgKTaAuO6,Ag,3,K,1,1.04,-3.37,156.10,574.90,0.03,-0.76,0.55,1.38,0.66,3.03,38.65,87.05,Ta,5,Au,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.53,0.15,0.08,0.935
AgLiAuTaO6,Ag,3,Li,1,0.77,-3.64,105.40,625.60,0.18,-0.91,0.48,1.46,0.38,1.99,33.05,92.65,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.01,0.05,0.913
AgMgFe2O6,Ag,2,Mg,2,0.15,-4.56,3.35,734.35,0.30,-1.03,0.31,1.62,0.17,2.20,82.85,42.85,Fe,4,Fe,0.00,0.00,-4.43,0.00,759.30,0.00,-0.94,0.00,1.83,0.00,2.11,0.00,15.70,0.00,0.42,0.06,0.00,0.962
AgMgReAuO6,Ag,2,Mg,2,0.15,-4.56,3.35,734.35,0.30,-1.03,0.31,1.62,0.17,2.20,82.85,42.85,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.06,0.10,0.903
AgMgW2O6,Ag,2,Mg,2,0.15,-4.56,3.35,734.35,0.30,-1.03,0.31,1.62,0.17,2.20,82.85,42.85,W,4,W,0.00,0.00,-4.51,0.00,770.00,0.00,-4.41,0.00,2.36,0.00,2.74,0.00,78.60,0.00,0.47,0.06,0.00,0.927
AgMnReAuO6,Ag,2,Mn,2,0.02,-4.42,6.80,724.20,0.17,-0.90,0.19,1.74,0.08,2.30,87.85,37.85,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.05,0.10,0.911
AgMoO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Mo,5,Mo,0.00,0.00,-4.23,0.00,684.90,0.00,-4.08,0.00,2.16,0.00,2.72,0.00,72.00,0.00,0.44,0.00,0.00,1.017
AgNaReAuO6,Ag,3,Na,1,0.83,-3.58,117.60,613.40,0.00,-0.73,0.50,1.43,0.14,2.51,36.40,89.30,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.06,0.10,0.906
AgNbO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Nb,5,Nb,0.00,0.00,-4.62,0.00,663.80,0.00,-4.51,0.00,1.60,0.00,2.76,0.00,86.20,1.33,0.46,0.00,0.00,1.002
AgNO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,N,5,N,0.00,0.00,-7.09,0.00,1402.30,0.00,-0.28,0.00,3.04,0.00,0.54,0.00,-7.00,0.00,0.09,0.00,0.00,1.336
AgOsO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Os,4,Os,0.00,0.00,-6.04,0.00,839.40,0.00,-1.22,0.00,2.20,0.00,2.65,0.00,106.00,0.00,0.45,0.00,0.00,0.972
AgPbO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Pb,4,Pb,0.00,0.00,-3.50,0.00,715.50,0.00,-0.64,0.00,2.33,0.00,2.09,0.00,35.10,0.00,0.55,0.00,0.00,0.907
AgPbWAlO6,Ag,3,Pb,2,0.45,-3.95,7.75,723.25,0.04,-0.69,0.20,2.13,0.14,2.23,45.30,80.40,W,4,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,2.03,0.43,0.09,0.04,0.977
AgPdAuTiO6,Ag,3,Pd,1,0.19,-4.21,36.85,767.85,1.31,-2.04,0.14,2.07,0.04,2.41,36.00,89.70,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.04,0.04,0.901
AgPdO3,Ag,3,Ag,3,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Pd,3,Pd,0.00,0.00,-4.02,0.00,804.70,0.00,-3.35,0.00,2.20,0.00,2.45,0.00,53.70,0.00,0.54,0.00,0.00,0.861
AgPdReAuO6,Ag,3,Pd,2,0.19,-4.21,36.85,767.85,1.31,-2.04,0.14,2.07,0.04,2.41,36.00,89.70,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.53,0.10,0.08,0.917
AgPO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,P,5,P,0.00,0.00,-5.51,0.00,1011.70,0.00,-0.45,0.00,2.19,0.00,1.24,0.00,72.00,0.00,0.27,0.00,0.00,1.148
AgPtO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Pt,4,Pt,0.00,0.00,-5.28,0.00,868.40,0.00,-0.69,0.00,2.28,0.00,2.70,0.00,205.30,0.00,0.45,0.00,0.00,0.974
AgRbReAuO6,Ag,3,Rb,1,1.08,-3.33,164.00,567.00,0.00,-0.73,0.55,1.38,0.86,3.24,39.40,86.30,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.03,0.51,0.18,0.10,0.961
AgRbTaAuO6,Ag,3,Rb,1,1.08,-3.33,164.00,567.00,0.00,-0.73,0.55,1.38,0.86,3.24,39.40,86.30,Ta,5,Au,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.53,0.18,0.08,0.948
AgReO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Re,5,Re,0.00,0.00,-5.38,0.00,760.30,0.00,-5.36,0.00,1.90,0.00,2.68,0.00,5.83,0.00,0.41,0.00,0.00,1.032
AgRhO3,Ag,3,Ag,3,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Rh,3,Rh,0.00,0.00,-3.59,0.00,719.80,0.00,-3.37,0.00,2.28,0.00,2.52,0.00,109.70,0.00,0.48,0.00,0.00,0.901
AgRuO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Ru,5,Ru,0.00,0.00,-3.58,0.00,711.10,0.00,-0.60,0.00,2.20,0.00,2.61,0.00,101.00,0.00,0.40,0.00,0.00,1.040
AgSbO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Sb,5,Sb,0.00,0.00,-4.83,0.00,833.70,0.00,-0.56,0.00,2.05,0.00,1.77,0.00,101.00,0.00,0.43,0.00,0.00,1.022
AgSnO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Sn,4,Sn,0.00,0.00,-3.69,0.00,708.60,0.00,-0.54,0.00,1.96,0.00,1.88,0.00,107.30,0.00,0.49,0.00,0.00,0.944
AgTaO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Ta,5,Ta,0.00,0.00,-3.65,0.00,761.30,0.00,-3.55,0.00,1.50,0.00,2.79,0.00,31.00,1.73,0.46,0.00,0.00,1.002
AgTcO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Tc,4,Tc,0.00,0.00,-3.94,0.00,702.40,0.00,-0.87,0.00,1.90,0.00,2.65,0.00,53.00,0.00,0.46,0.00,0.00,0.965
AgTiO3,Ag,3,Ag,3,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Ti,3,Ti,0.00,0.00,-4.37,0.00,658.00,0.00,-4.23,0.00,1.54,0.00,2.58,0.00,7.60,0.00,0.48,0.00,0.00,0.898
AgTlAuTaO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.17,0.05,0.991
AgTlAuTiO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.17,0.04,1.003
AgTlHfNiO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Hf,4,Ni,0.84,0.84,-3.62,30.65,706.05,1.01,-1.76,0.30,1.61,0.37,2.55,47.50,64.50,0.00,0.43,0.17,0.08,1.015
AgTlHfPtO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Hf,4,Pt,1.25,1.25,-4.03,96.50,771.90,1.04,-1.73,0.49,1.79,0.10,2.81,94.15,111.15,0.00,0.48,0.17,0.03,0.980
AgTlHfSiO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Hf,4,Si,0.65,0.65,-3.43,55.55,730.95,1.16,-1.62,0.30,1.60,0.75,2.17,58.30,75.30,0.00,0.40,0.17,0.11,1.036
AgTlReAuO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.17,0.10,0.958
AgTlSbScO6,Ag,3,Tl,1,1.02,-3.39,70.85,660.15,0.08,-0.65,0.15,1.78,0.07,2.30,47.41,78.29,Sb,5,Sc,0.77,0.77,-4.06,101.35,732.35,1.32,-1.87,0.34,1.71,0.49,2.26,41.45,59.55,0.01,0.48,0.17,0.05,0.978
AgVO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,V,5,V,0.00,0.00,-4.47,0.00,650.30,0.00,-4.36,0.00,1.63,0.00,2.43,0.00,50.70,0.03,0.39,0.00,0.00,1.053
AgWO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,W,5,W,0.00,0.00,-4.51,0.00,770.00,0.00,-4.41,0.00,2.36,0.00,2.74,0.00,78.60,0.00,0.44,0.00,0.00,1.012
AgYbWMgO6,Ag,3,Yb,2,0.69,-3.72,63.80,667.20,0.19,-0.91,0.41,1.52,0.61,2.98,63.82,61.89,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.00,0.48,0.05,0.04,0.924
AgZnReAuO6,Ag,2,Zn,2,0.79,-5.19,87.70,818.70,0.19,-0.92,0.14,1.79,0.25,2.13,91.85,33.85,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.04,0.51,0.07,0.10,0.901
AgZrO3,Ag,2,Ag,2,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Zr,4,Zr,0.00,0.00,-3.67,0.00,660.00,0.00,-3.51,0.00,1.33,0.00,2.83,0.00,41.10,0.00,0.51,0.00,0.00,0.931
AlBO3,Al,3,Al,3,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,B,3,B,0.00,0.00,-3.61,0.00,800.60,0.00,-0.30,0.00,2.04,0.00,0.80,0.00,26.70,0.00,0.19,0.00,0.00,1.004
AsBO3,As,3,As,3,0.00,-5.19,0.00,946.50,0.00,-0.53,0.00,2.18,0.00,1.42,0.00,78.00,B,3,B,0.00,0.00,-3.61,0.00,800.60,0.00,-0.30,0.00,2.04,0.00,0.80,0.00,26.70,0.56,0.19,0.00,0.00,1.084
AuAsO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,As,3,As,0.00,0.00,-5.19,0.00,946.50,0.00,-0.53,0.00,2.18,0.00,1.42,0.00,78.00,0.00,0.41,0.00,0.00,0.986
AuBaMnInO6,Au,3,Ba,2,1.26,-4.50,193.60,696.50,0.63,-1.40,0.83,1.72,0.37,3.03,104.43,118.38,Mn,4,In,0.96,0.96,-3.48,79.55,637.85,0.28,-0.78,0.11,1.67,0.09,2.14,43.52,-6.48,0.01,0.48,0.09,0.10,0.988
AuCoO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Co,3,Co,0.00,0.00,-4.44,0.00,758.40,0.00,-0.84,0.00,1.88,0.00,2.02,0.00,63.80,0.00,0.44,0.00,0.00,0.971
AuCrO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.00,0.00,0.969
AuFeO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Fe,3,Fe,0.00,0.00,-4.43,0.00,759.30,0.00,-0.94,0.00,1.83,0.00,2.11,0.00,15.70,0.00,0.46,0.00,0.00,0.954
AuGaO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,0.00,0.44,0.00,0.00,0.966
AuIO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,I,5,I,0.00,0.00,-7.08,0.00,1008.40,0.00,-0.56,0.00,2.66,0.00,1.59,0.00,295.20,0.00,0.68,0.00,0.00,0.942
AuMnO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Mn,3,Mn,0.00,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,0.00,0.46,0.00,0.00,0.954
AuMoO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Mo,3,Mo,0.00,0.00,-4.23,0.00,684.90,0.00,-4.08,0.00,2.16,0.00,2.72,0.00,72.00,0.00,0.49,0.00,0.00,0.934
AuNbO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Nb,3,Nb,0.00,0.00,-4.62,0.00,663.80,0.00,-4.51,0.00,1.60,0.00,2.76,0.00,86.20,0.44,0.51,0.00,0.00,0.921
AuNiO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Ni,3,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.43,0.00,0.00,0.976
AuOsO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Os,5,Os,0.00,0.00,-6.04,0.00,839.40,0.00,-1.22,0.00,2.20,0.00,2.65,0.00,106.00,0.00,0.41,0.00,0.00,1.121
AuReO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Re,5,Re,0.00,0.00,-5.38,0.00,760.30,0.00,-5.36,0.00,1.90,0.00,2.68,0.00,5.83,0.00,0.41,0.00,0.00,1.118
AuSbO3,Au,3,Au,3,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Sb,3,Sb,0.00,0.00,-4.83,0.00,833.70,0.00,-0.56,0.00,2.05,0.00,1.77,0.00,101.00,0.00,0.54,0.00,0.00,0.904
AuSmMnInO6,Au,3,Sm,2,1.48,-4.28,173.45,716.65,0.97,-1.73,0.69,1.86,0.74,3.40,103.59,119.22,Mn,4,In,0.96,0.96,-3.48,79.55,637.85,0.28,-0.78,0.11,1.67,0.09,2.14,43.52,-6.48,0.00,0.48,0.04,0.10,0.964
AuTaO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Ta,5,Ta,0.00,0.00,-3.65,0.00,761.30,0.00,-3.55,0.00,1.50,0.00,2.79,0.00,31.00,0.42,0.46,0.00,0.00,1.085
AuTcO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,Tc,5,Tc,0.00,0.00,-3.94,0.00,702.40,0.00,-0.87,0.00,1.90,0.00,2.65,0.00,53.00,0.00,0.43,0.00,0.00,1.107
AuWO3,Au,1,Au,1,0.00,-5.76,0.00,890.10,0.00,-0.76,0.00,2.54,0.00,2.66,0.00,222.80,W,5,W,0.00,0.00,-4.51,0.00,770.00,0.00,-4.41,0.00,2.36,0.00,2.74,0.00,78.60,0.00,0.44,0.00,0.00,1.096
Ba2AlNbO6,Ba,2,Ba,2,0.00,-3.24,0.00,502.90,0.00,-2.03,0.00,0.89,0.00,3.40,0.00,13.95,Al,3,Nb,0.95,0.95,-3.66,43.10,620.70,2.03,-2.48,0.01,1.61,0.54,2.22,21.10,65.10,2.79,0.42,0.00,0.04,1.071
Ba2AsTmO6,Ba,2,Ba,2,0.00,-3.24,0.00,502.90,0.00,-2.03,0.00,0.89,0.00,3.40,0.00,13.95,As,5,Tm,1.58,1.58,-3.62,175.10,771.40,0.70,-1.23,0.47,1.72,1.09,2.51,10.50,88.50,2.82,0.48,0.00,0.15,1.028
Ba2AuCeO6,Ba,2,Ba,2,0.00,-3.24,0.00,502.90,0.00,-2.03,0.00,0.89,0.00,3.40,0.00,13.95,Au,5,Ce,2.88,2.88,-2.88,181.15,708.95,0.38,-0.38,0.71,1.83,0.92,3.58,86.40,136.40,0.00,0.56,0.00,0.16,0.972
Ba2AuDyO6,Ba,2,Ba,2,0.00,-3.24,0.00,502.90,0.00,-2.03,0.00,0.89,0.00,3.40,0.00,13.95,Au,5,Dy,1.63,1.63,-4.13,158.95,731.15,0.74,-1.51,0.66,1.88,0.50,3.17,94.42,128.38,1.42,0.53,0.00,0.12,0.994
